area_code, area_name, obese_p_me_1_no_3_11_7_13
10050,"Albury (C)",9782.04335790375
10110,"Armidale Dumaresq (A)",4358.48626027376
10150,"Ashfield (A)",5924.31998909281
10200,"Auburn (C)",10844.0095972948
10250,"Ballina (A)",8408.72172111104
10300,"Balranald (A)",494.341649767481
10350,"Bankstown (C)",34396.2283803903
10470,"Bathurst Regional (A)",7539.37726536913
10550,"Bega Valley (A)",7222.0400685395
10600,"Bellingen (A)",2674.85029645287
10650,"Berrigan (A)",1917.97135243816
10750,"Blacktown (C)",55540.1021269734
10800,"Bland (A)",1330.05999049654
10850,"Blayney (A)",1470.44806457126
10900,"Blue Mountains (C)",13757.4391592185
10950,"Bogan (A)",617.5294475604
11000,"Bombala (A)",544.587182748534
11050,"Boorowa (A)",529.242928292682
11100,"Botany Bay (C)",6849.28195686366
11150,"Bourke (A)",null
11200,"Brewarrina (A)",null
11250,"Broken Hill (C)",4385.78007803911
11750,"Cobar (A)",1005.2687733337
11800,"Coffs Harbour (C)",14140.4155104892
11860,"Conargo (A)",355.150336673815
12000,"Coolamon (A)",910.694392220938
12050,"Cooma-Monaro (A)",1942.24487932275
12150,"Coonamble (A)",861.472200644145
11300,"Burwood (A)",4604.96239481133
11350,"Byron (A)",5830.52865743522
11400,"Cabonne (A)",2616.93568256692
11450,"Camden (A)",10547.6971087435
11500,"Campbelltown (C)",31214.0089369815
11520,"Canada Bay (A)",10789.298726263
11550,"Canterbury (C)",24239.632342386
11600,"Carrathool (A)",553.33773134699
11700,"Central Darling (A)",473.163182420775
11720,"Cessnock (C)",10999.6077030542
11730,"Clarence Valley (A)",11437.0503488818
12200,"Cootamundra (A)",1617.71596644108
12300,"Corowa Shire (A)",2616.45327840269
12350,"Cowra (A)",2904.21810732991
12500,"Deniliquin (A)",1653.556021
12600,"Dubbo (C)",8200.61309434845
12700,"Dungog (A)",1847.1194463
12750,"Eurobodalla (A)",8222.94539733934
12850,"Fairfield (C)",38904.3811900871
12900,"Forbes (A)",2112.53763963378
12950,"Gilgandra (A)",1049.70315721795
13010,"Glen Innes Severn (A)",1980.86265930914
13050,"Gloucester (A)",1218.52350794477
13100,"Gosford (C)",32706.4243069749
13310,"Goulburn Mulwaree (A)",5868.97309155271
13320,"Great Lakes (A)",8328.08551276206
13340,"Greater Hume Shire (A)",1900.93472401246
13380,"Greater Taree (C)",10784.0913114405
13450,"Griffith (C)",5030.60811059648
13500,"Gundagai (A)",808.079403839835
13550,"Gunnedah (A)",2683.76346514045
13650,"Guyra (A)",944.007864139331
13660,"Gwydir (A)",1164.51047179533
13700,"Harden (A)",792.967044838619
13800,"Hawkesbury (C)",12275.2651790116
13850,"Hay (A)",639.029552890794
13950,"Holroyd (C)",18231.5411045485
14000,"Hornsby (A)",21216.0391676732
14100,"Hunters Hill (A)",1648.42869184467
14150,"Hurstville (C)",12411.9432589065
14200,"Inverell (A)",3489.45968484012
14250,"Jerilderie (A)",349.291934097242
14300,"Junee (A)",1298.28090225041
14350,"Kempsey (A)",6301.09186726811
14400,"Kiama (A)",3856.44588997686
14450,"Kogarah (C)",9261.33604760744
14500,"Ku-ring-gai (A)",10161.6254302777
14550,"Kyogle (A)",2058.98295223698
14600,"Lachlan (A)",1490.84609045959
14650,"Lake Macquarie (C)",39760.4680028115
14700,"Lane Cove (A)",2962.7955288553
14750,"Leeton (A)",2300.48830711261
14800,"Leichhardt (A)",6177.61960756956
14850,"Lismore (C)",8918.32358756727
14870,"Lithgow (C)",4537.42848298289
14900,"Liverpool (C)",35188.4295948182
14920,"Liverpool Plains (A)",1763.98608614906
14950,"Lockhart (A)",666.028804701355
15050,"Maitland (C)",13506.4405045753
15150,"Manly (A)",4230.14705347082
15200,"Marrickville (A)",11706.4353720695
15270,"Mid-Western Regional (A)",4892.46953521947
15300,"Moree Plains (A)",2884.55987198314
15350,"Mosman (A)",2783.670276
15500,"Murray (A)",1603.32785046786
15550,"Murrumbidgee (A)",483.333947727953
15650,"Muswellbrook (A)",3188.9519073
15700,"Nambucca (A)",4478.04460196386
15750,"Narrabri (A)",2903.20759940209
15800,"Narrandera (A)",1227.67944593694
15850,"Narromine (A)",1583.62234254151
15900,"Newcastle (C)",29133.3818546127
15950,"North Sydney (A)",6488.00099837805
16100,"Oberon (A)",1188.38099957972
16150,"Orange (C)",7708.67765267439
16180,"Palerang (A)",2405.66133094684
16200,"Parkes (A)",3292.86652917706
16250,"Parramatta (C)",27482.7078324296
16350,"Penrith (C)",36274.9090114326
16370,"Pittwater (A)",9289.0243658
16380,"Port Macquarie-Hastings (A)",16225.6424006192
16400,"Port Stephens (A)",14405.6794072972
16470,"Queanbeyan (C)",7138.05485067182
16550,"Randwick (C)",17110.1940161
16610,"Richmond Valley (A)",5045.1737656189
16650,"Rockdale (C)",17351.2546565074
16700,"Ryde (C)",13677.4738485382
16900,"Shellharbour (C)",13660.2910723
16950,"Shoalhaven (C)",20474.2621715146
17000,"Singleton (A)",4629.40302249457
17050,"Snowy River (A)",1429.10229162922
17350,"Temora (A)",1274.52667969694
17400,"Tenterfield (A)",1558.37017299086
17420,"The Hills Shire (A)",26621.9345838377
17450,"Tumbarumba (A)",786.6777423802
17500,"Tumut Shire (A)",2469.09508915978
17550,"Tweed (A)",18215.3234527
17620,"Upper Hunter Shire (A)",3137.88936608551
17640,"Upper Lachlan Shire (A)",1531.32435730941
17650,"Uralla (A)",1272.86317900875
17700,"Urana (A)",268.498589898168
17750,"Wagga Wagga (C)",12049.2027843062
17800,"Wakool (A)",905.995020571703
17850,"Walcha (A)",648.040458702861
17900,"Walgett (A)",null
17950,"Warren (A)",592.655215541638
18000,"Warringah (A)",23118.9788580292
18020,"Warrumbungle Shire (A)",2270.98638850219
18050,"Waverley (A)",7388.12103496116
18100,"Weddin (A)",830.804430029078
18150,"Wellington (A)",1754.85583518762
18200,"Wentworth (A)",1429.42479156491
18250,"Willoughby (C)",6441.77076582922
17100,"Strathfield (A)",4461.26590162222
17150,"Sutherland Shire (A)",39983.4350027644
17200,"Sydney (C)",20228.4331673787
17310,"Tamworth Regional (A)",12081.3941285035
18350,"Wingecarribee (A)",8958.42914614422
18400,"Wollondilly (A)",9000.84628508621
18450,"Wollongong (C)",37658.1690663235
18500,"Woollahra (A)",5696.13915624755
18550,"Wyong (A)",33062.2583023641
18710,"Yass Valley (A)",2757.62787461435
18750,"Young (A)",2765.05767056616
19399,"Unincorporated NSW",null
