 lga_code_2016, lga_name16,median_aud
30250,Aurukun (S),24554
30300,Balonne (S),38395
30370,Banana (S),45740
30410,Barcaldine (R),39688
30450,Barcoo (S),39033
30760,Blackall-Tambo (R),37976
34710,Longreach (R),43753
34770,Mackay (R),54068
34800,McKinlay (S),40568
34830,Mapoon (S),null
34860,Maranoa (R),43933
34880,Mareeba (S),36547
35010,Moreton Bay (R),45503
35250,Mornington (S),30876
35300,Mount Isa (C),65406
35600,Murweh (S),40959
35670,Napranum (S),37449
35740,Noosa (S),36356
35760,North Burnett (R),28816
35780,Northern Peninsula Area (R),35610
35790,Palm Island (S),35477
35800,Paroo (S),36284
36070,Pormpuraaw (S),22400
36150,Quilpie (S),37455
36250,Redland (C),47046
36300,Richmond (S),36528
36370,Rockhampton (R),48904
36510,Scenic Rim (R),38986
36580,Somerset (R),39499
36630,South Burnett (R),35671
36660,Southern Downs (R),34162
36720,Sunshine Coast (R),39725
36820,Tablelands (R),35088
36910,Toowoomba (R),44395
36950,Torres (S),47348
36960,Torres Strait Island (R),34115
37010,Townsville (C),51011
30900,Boulia (S),45168
31000,Brisbane (C),50120
31750,Bulloo (S),56946
31820,Bundaberg (R),37991
31900,Burdekin (S),41924
31950,Burke (S),41600
32080,Cairns (R),44387
32250,Carpentaria (S),43628
32260,Cassowary Coast (R),36374
32270,Central Highlands (R) (Qld),54867
32310,Charters Towers (R),41566
37340,Whitsunday (R),41290
32330,Cherbourg (S),36467
32450,Cloncurry (S),56963
32500,Cook (S),35153
32600,Croydon (S),33310
37300,Weipa (T),76332
37310,Western Downs (R),43402
32750,Diamantina (S),46346
34420,Kowanyama (S),23112
34530,Livingstone (S),47895
34570,Lockhart River (S),23036
34580,Lockyer Valley (R),39434
34590,Logan (C),44940
32770,Doomadgee (S),31811
32810,Douglas (S),37107
33100,Etheridge (S),26952
33200,Flinders (S) (Qld),36846
33220,Fraser Coast (R),37878
33360,Gladstone (R),60551
33430,Gold Coast (C),41869
33610,Goondiwindi (R),38082
33620,Gympie (R),35283
33800,Hinchinbrook (S),42134
33830,Hope Vale (S),34435
33960,Ipswich (C),47176
33980,Isaac (R),69973
37400,Winton (S),38059
37550,Woorabinda (S),31688
37570,Wujal Wujal (S),30397
37600,Yarrabah (S),36990