lga_name, ovrwgt_p_1_count
Alpine (S),3267
Ararat (RC),3010
Ballarat (C),25725
Banyule (C),37568
Bass Coast (S),8899
Baw Baw (S),12002
Bayside (C),29738
Benalla (RC),3713
Boroondara (C),51385
Brimbank (C),56627
Buloke (S),1679
Campaspe (S),9593
Cardinia (S),24997
Casey (C),79721
Central Goldfields (S),3444
Colac-Otway (S),5413
Corangamite (S),4319
Darebin (C),44689
East Gippsland (S),12072
Frankston (C),39179
Gannawarra (S),2728
Glen Eira (C),42779
Glenelg (S),5308
Golden Plains (S),5241
Greater Bendigo (C),27618
Greater Dandenong (C),42456
Greater Geelong (C),59253
Greater Shepparton (C),15334
Hepburn (S),4150
Hindmarsh (S),1550
Hobsons Bay (C),27773
Horsham (RC),5005
Hume (C),52180
Indigo (S),4231
Kingston (C),46602
Knox (C),45973
Latrobe (C),18856
Loddon (S),2064
Macedon Ranges (S),12836
Manningham (C),36545
Mansfield (S),2073
Maribyrnong (C),24567
Maroondah (C),32622
Melbourne (C),32784
Melton (S),35478
Mildura (RC),13046
Mitchell (S),10097
Moira (S),7667
Monash (C),54281
Moonee Valley (C),36092
Moorabool (S),8780
Moreland (C),49486
Mornington Peninsula (S),46507
Mount Alexander (S),4999
Moyne (S),4297
Murrindindi (S),3943
Nillumbik (S),18524
Northern Grampians (S),3041
Port Phillip (C),32690
Pyrenees (S),1918
Queenscliffe (B),907
South Gippsland (S),7515
Southern Grampians (S),4210
Stonnington (C),33008
Strathbogie (S),2790
Surf Coast (S),7652
Swan Hill (RC),5123
Towong (S),1616
Wangaratta (RC),7108
Warrnambool (C),8581
Wellington (S),10705
West Wimmera (S),1136
Whitehorse (C),48270
Whittlesea (C),54903
Wodonga (RC),9290
Wyndham (C),56533
Yarra (C),27179
Yarra Ranges (S),43942
Yarriambiack (S),1895
Unincorporated Vic,null